,Date,User,Tweet
94,2015-03-20 12:35:17+00:00,pradeepdhakra,"#swachhBharat #MyCleanIndia chennai station was never so clean .no stinking smell ,shocked and surprised @ChennaiInsider @sureshpprabhu"
95,2015-03-20 12:28:24+00:00,rohitsobti1,"#swachhbharat  week 4 , 26th October. Area corpo"
96,2015-03-20 12:28:20+00:00,pradeepdhakra,#MyCleanIndia #swachhBharat  platforms were sparklingly clean from bangalore to chennai .except trivalluar station @sureshpprabhu
97,2015-03-20 12:23:43+00:00,pradeepdhakra,#swachhBharat #MyCleanIndia  railway platforms were sparklingly clean from bangalore to chennai @bibekdebroy @sureshprabhubjp
98,2015-03-20 10:55:17+00:00,ZicoNaik,"SCG shall witness the Power of #swachhBharat as #IND cleans the Yellow hoppers out in the Semi's. 
#INDvsAUS #CWC15"
99,2015-03-20 10:44:43+00:00,ArvindLBJP,Join in for Swacch Bharath campaign on 22nd March at Immadehalli. #CleanIndia #SwachhBharat @swachhindia @bjpkarnataka
100,2015-03-20 10:39:27+00:00,skochgroup,#NirmalBansal: We should track the path of progress with plans #JanDhanYojna #DigitalIndia  #MakeInIndia #SwachhBharat . #39thSkochSummit
101,2015-03-20 10:30:16+00:00,monikaptel,#NarendraModi sends #Gujarat MP to execute cleaning drive at Ganga ghat #Cleanliness #SwachhBharat #SwachhBharatAbhiyan
102,2015-03-20 09:49:46+00:00,OutspokenBONG,"LifeTime, Professional &amp; Amateur categories in #4thNationalPhotographyAwards. Theme of Professional category is #HamaraBharat #SwachhBharat"
103,2015-03-20 09:48:42+00:00,chandu532,"LifeTime, Professional &amp; Amateur categories in #4thNationalPhotographyAwards. Theme of Professional category is #HamaraBharat #SwachhBharat"
104,2015-03-20 09:46:18+00:00,sitaram_thakare,"LifeTime, Professional &amp; Amateur categories in #4thNationalPhotographyAwards. Theme of Professional category is #HamaraBharat #SwachhBharat…"
105,2015-03-20 09:45:37+00:00,theind_india,"LifeTime, Professional &amp; Amateur categories in #4thNationalPhotographyAwards. Theme of Professional category is #HamaraBharat #SwachhBharat"
106,2015-03-20 09:02:13+00:00,gurpreetkhokhar,"Sir @narendramodi ! For #swachhBharat we need to have a ""cold start doctrine"" for stray dogs, stray pigs and stray 'holy' cows !!"
107,2015-03-20 08:00:13+00:00,gailindia,Wouldn't you want your children to enjoy #swachhbharat? let's make it a reality. #TomorrowIsYours
108,2015-03-20 04:20:57+00:00,UNDP_India,#WaterIs imp for #SustDev! Commend #GoI focus on water sector: Ganga Rejuvenation and #swachhBharat Abhiyaan - Shigeru Aoyagi @UNESCO @UNDP
109,2015-03-19 09:39:43+00:00,gangadhar_007,#rohitsharma Today rohit's innings is as clean as the cities in INDIA after #swachhbharat campaign....
110,2015-03-19 06:19:58+00:00,chandu532,"chiragrdotme wow, this could do wonders, considering the emotional grip saas-bahu’s have on indian households :) #swachhbharat"
111,2015-03-19 04:45:28+00:00,chandu532,RT TarunMalaviya: Rs 320 crore set aside to implement #SwachhBharat ” in cities. 490.49 crores to implement the scheme in rural area #Mahar…
112,2015-03-19 02:37:26+00:00,akhilneelam,5000 fine for littering on Railway property. #MyCleanIndia #SwachhBharat
113,2015-03-18 14:51:33+00:00,GuttuG,Cleaned my room after ages. :D #SwachhBharat
114,2015-03-18 13:14:28+00:00,Chhatri_Man,: 320 crores allocated #SwachhBharat #MahaBudget2015
115,2015-03-18 10:21:04+00:00,chandu532,RT amaresh4: 320 crores allocated #SwachhBharat #MahaBudget2015
116,2015-03-18 10:17:09+00:00,amolparakh,"320 crores allocated to #SwachhBharat #MahaBudget2015
Namo's dream of clean India to be fulfilled by 'our' government.
Proud of @MahaBJP"
117,2015-03-18 10:10:21+00:00,amaresh4,320 crores allocated #SwachhBharat #MahaBudget2015
118,2015-03-18 06:37:27+00:00,Kumarsshyam_,"What if @iisuperwomanii went live at #YTFF and equates #CleanUpAnthem with Modi's #SwachhBharat campaign? Interesting thought, hmm?"
119,2015-03-18 05:13:50+00:00,kkumarkg,"New Delhi station: As incoming train pulls in, you can see the cleaning agency people waiting to board and sweep the train #swachhbharat"
120,2015-03-18 05:11:22+00:00,kkumarkg,There is a private agency appointed at new Delhi railway station to clean platform and trains #swachhbharat
121,2015-03-18 04:23:48+00:00,OneWorld_EDAA,Recommendations of CRS on #watsan - CR should collaborate with #swachhbharat @MIB_India #NationalCRS2015
122,2015-03-18 01:54:08+00:00,skyheightmedia,I am very impressed how #BajrangiBhaijaan team color whole village as #swachhbharat abhiyaan.
123,2015-03-18 01:22:23+00:00,chandu532,"deepak13166 Your tweets need to be public, not protected - we cannot view what you have posted.

#SwachhBharat #MyCleanIndia #CleanIndia"
124,2015-03-17 18:30:57+00:00,paragrastogi,RIP brave Suzette...Bharat can only become Swachh if the criminals are brought to justice.#swachhbharat
125,2015-03-17 14:35:21+00:00,imYashwanth_C,"#DKRavi
#swachhbharat 
We not only need a clean and tidy India,we do need CLEAN POLITICS in a CLEAN SYSTEM."
126,2015-03-17 14:34:30+00:00,Manas1012,"This moti saand just threw away her food packet on the road from the office bus.
Fckng corporate illiterate.
Kaisa hoga #swachhbharat ?"
127,2015-03-17 12:55:09+00:00,nikhilpec,Modi urges banks to support young entrepreneurs willing to start venture in #public #sanitation.#swachhbharat #CleanIndia #MyCleanIndia
128,2015-03-17 12:00:28+00:00,gailindia,There are so many downsides of an unclean environment. Agree? Share with us a few. #swachhbharat
129,2015-03-17 04:14:15+00:00,Abhijeet_Sinhaa,Early morning arrival at Chandigarh to meet community leaders of  #WASH &amp; #SKill Building under #MakeInIndia &amp; #Swachhbharat Mission
130,2015-03-17 02:18:26+00:00,chandu532,"vinod_gaikwade PMOindia Hi VInod, I hope all these areas have been fixed. 

#GHMC #SwachhBharat #MyCleanIndia"
131,2015-03-17 01:56:38+00:00,shobhan03,"""Laptop Safai Abhiyaan"" going on at my end. Dedicating one hour daily for it. #SwachhBharat #TechGeek"
132,2015-03-16 13:00:26+00:00,gailindia,Help India achieve #SwachhBharat &amp; stop air-pollution in its tracks. Switch to #natgas today to lower your emissions and carbon footprint.
