Date,User,Tweet
2017-04-08 14:51:31+00:00,Columbia_Biz,State Bank of India created an app within a week of #demonetization for fertilizer traders to pull payment from farmers #cbsibc2017 @CBSIBC
2017-04-08 11:41:23+00:00,sinduindubindu4,"#Demonetization/#NewFinancialReforms r big issues resulted into very Minute changes in country,bt #Nirbhaya is an issue can result in bigger"
2017-04-08 05:03:41+00:00,NarvijayYadav,The side effects of #demonetization are visible now. There is less work in the market and payments are getting delayed. @pmoindia
2017-04-07 17:20:58+00:00,shaitaankhopdi,"Half of the job losses &amp; suicides reported during #Demonetization drive were from Pak.
#PakFacts"
2017-04-07 06:33:28+00:00,nmleo1,Debate whether #ModiGovt should roll off #remonetization to re-attain #demonetization-led victory over #corruption?  @TimesNow #ITraidTN
2017-04-06 14:23:33+00:00,tanmaymalik555,"#Demonetization Blunder 
#Online transation gimmic 
#HinduRashtra #GauRakshaks Now they are come with #GSTBill तेराऔर कोई जुल्म बाकी तोनही?"
2017-04-06 01:10:06+00:00,anindasardar,11 ATMs later I still have no cash in my wallet. Thank you @PMOIndia for #demonetization
2017-04-05 19:37:24+00:00,manishbpl1,"Just like #demonetization , will this #IPL stop #cow terrorism to stone pelting in #Kashmir for few days?"
2017-04-05 16:27:27+00:00,janhavee,"If you thought #demonetization woes are over, you are wrong. It's just the 5th day of new financial year &amp; no cash in most of ATMs in Mumbai"
2017-04-05 15:48:41+00:00,Its7Rishi,#Demonetization was to bite the corrupt rich instead its  biting the common man in the wrong place. Lack of foresight?
2017-04-05 10:31:49+00:00,rahultripathi,Fake currency notes of Rs 2000/500 valued at Rs 62376000 (6.2 crore) seized by agencies post #demonetization: MHA to RS @IndianExpress
2017-04-04 15:53:35+00:00,jmthemaker,"Post #demonetization, there is a #denotification drive!"
2017-04-04 14:24:01+00:00,MrNarci,"Visited six ATMs in Dadar West, SIX. Cash in none. Ghanta things have got better. #demonetization"
2017-04-04 14:12:28+00:00,AllMight_UA,"Umm, now that we are well past #demonetization days, why is there a cash shortage? #DryATMs  #Pune"
2017-04-04 11:19:16+00:00,lordcedric_com,#Kalaari: RT VaniKola: #Demonetization is a way of formalising Indian economy. But is it enough to spur the GDP growth needed? Your views? …
2017-04-04 04:43:19+00:00,shiladitya,"Been hearing about the ATMs having no cash again, is this something to do with the March 31st deadline? #demonetization"
2017-04-04 04:20:30+00:00,CineMagik,"No money in any of the 5 ATMs near us at Jogeshwari (W). They owe us an apology, if not the promised 15 lakhs. #demonetization #disaster"
2017-04-03 06:17:04+00:00,bhatnagardaksh1,#Demonetization may not have been well executed but it did something good in terms of people preferring to transact online if possible
2017-04-03 06:05:06+00:00,SpencerKarter,I wish this #YouTubers #Oppression we're facing is over. Yes the damned #AdsenseGate aka #Demonetization #YouTubeCensorship! #EpicFAIL! :(
2017-04-03 00:03:48+00:00,SpencerKarter,#Question Who was truly responsible for #YouTube's #Demonetization #PRnightmare aka #AdsenseGate?#youtubeisoverparty #MakeYouTubeGreatAgain
2017-04-02 14:10:11+00:00,Its7Rishi,#Demonetization vows continue....ATMs frequently out of cash. Lot of shops not yet digitalized. Is this #DigitalIndia
2017-04-02 06:09:46+00:00,UditOnkari,"#NaMoRoad2Prosperity
EVERY GOVT COMES AND REVEALS OTHER ONE JUST WAIT AND WATCH HERE ALSO LOT TO COME #demonetization #VYAPAM #BANK #gdp"
2017-04-02 05:12:18+00:00,Ess_Shabir,"If #demonetization neutralised stone Pelter's in kmr, Y R they pelting stones now.Unless kmr is not solved,Pelter's will keep pelting stones"
2017-04-02 01:28:34+00:00,deepakk2210,Power of poor country.... 8 lakhs bikes sold in 2 days. #demonetization
2017-04-01 18:34:09+00:00,OfficialRuuku,#Demonetization #AgeRestriction pandering to #PCculture They call it #YouTube but it's actually #TheirTube @Google @YouTube &amp; @WSJ #Suck
2017-04-01 15:51:36+00:00,lbalaji965,Please increase the size of 500 &amp; 2000 rupees notes Sometimes it is easily coming along side 10 rupee notes. #demonetization of wallet fears
2017-04-01 14:43:05+00:00,camishravikas,"Schedule III of the #Companies Act, 2013  1st April, 2014 vide Notification S.O. 902(E), 26.3.2014 Amended for #Demonetization Transactions"
2017-04-01 05:57:45+00:00,CARajivShukla,"Schedule III of the #Companies Act, 2013  1st April, 2014 vide Notification S.O. 902(E), 26.3.2014 Amended for #Demonetization Transactions"
2017-04-01 05:56:11+00:00,CARajivShukla,#Auditor to Report details of Specified #Bank Note in  #demonetization period from 08-11-16 to 30-12-16. #MCA G.S.R. 307(E).30.03.2017
2017-04-01 05:54:31+00:00,CARajivShukla,#Company to disclose details of Specified #Bank Note in BS #demonetization period from 08-11-16 to 30-12-16. MCA G.S.R. 308(E).30.03.2017
2017-04-01 05:45:03+00:00,SpencerKarter,"If CEO #SusanWojcicki resigns &amp; #AdvertiserFriendly aka #Demonetization #Censorship eliminated, #YouTube would be back in #TheRightDirection"
2017-04-01 02:44:13+00:00,luckyhues,#Demonetization has eradicated black money #aprilfoolsday #RBI
2017-03-31 19:25:11+00:00,destinyamar,#Niti Ayog says #Digital payment grows #584% after #Demonetization.... amazing growth....
2017-03-31 18:39:06+00:00,Saurabhkj11,#Demonetization... for me it's a super duper flop idea ..
2017-03-31 18:10:16+00:00,BuddhaHarish,"March 31/2k17,Deadline for
1.RBI #demonetization submits
2.Banks free #withdrawals 
3. #jio  free internet Etc.. 

😕😕😕😢  no #FreebieFriday"
2017-03-31 14:19:14+00:00,anilkohli54,Congress chikened out when it came to #Demonetization. Electoral gains more imp than country.
2017-03-31 14:15:19+00:00,foolsgreengold,Bye bye old 1000 and 500 notes... You were good soldiers. Our generals fucked up. #demonetization
2017-03-31 12:20:26+00:00,nnis_sports,Govt has no proposal for waiving farm loans post #demonetization
2017-03-31 11:48:04+00:00,chromedm,"Catch @Pankajkrish on @NDTVPrime #AllAboutAds, tomorrow at 11:30 am, as he talks about the impact of #demonetization on #IPL2017"
2017-03-31 11:35:35+00:00,gopibella,#Demonetization effect- merchants refuse to accept 'old' looking ₹100/50 notes. No logic. They r still legal tender. ₹100 notes fm ATM only.
2017-03-31 11:11:13+00:00,airnews_arngbad,"Retweeted All India Radio News (@airnewsalerts):

Govt has no proposal for waiving farm loans post #demonetization."
